Year,Month,Day,Hour,PM25,WindSpeed,PM10
2018,1,1,0,35,3.8,77
2018,1,1,1,22,4.2,78
2018,1,1,2,21,3.2,71
2018,1,1,3,26,4.4,83
2018,1,1,4,25,3.5,70
2018,1,1,5,22,3.7,77
2018,1,1,6,33,4.3,95
2018,1,1,7,41,2.9,91
2018,1,1,8,42,3.8,85
2018,1,1,9,35,5.1,70
2018,1,1,10,22,6.4,69
2018,1,1,11,19,6,75
2018,1,1,12,23,6.7,85
2018,1,1,13,25,6.8,93
2018,1,1,14,26,5.3,96
2018,1,1,15,31,7.6,183
2018,1,1,16,33,7.8,111
2018,1,1,17,35,7,120
2018,1,1,18,37,6.3,138
2018,1,1,19,35,5.7,123
2018,1,1,20,28,5.7,70
2018,1,1,21,24,5.1,77
2018,1,1,22,31,4.3,75
2018,1,1,23,34,1.6,67
2018,1,2,0,32,1.8,67
2018,1,2,1,34,1.6,71
2018,1,2,2,34,1.6,74
2018,1,2,3,32,2.2,81
2018,1,2,4,39,1.5,80
2018,1,2,5,40,0.7,74
2018,1,2,6,35,1.3,71
2018,1,2,7,35,2.2,77
2018,1,2,8,37,1.7,89
2018,1,2,9,40,3.6,90
2018,1,2,10,36,4.3,61
2018,1,2,11,20,4.5,65
2018,1,2,12,14,5,86
2018,1,2,13,20,5.7,127
2018,1,2,14,27,4.3,171
2018,1,2,15,29,4.8,192
2018,1,2,16,32,4.1,133
2018,1,2,17,32,5.3,112
2018,1,2,18,30,4.6,93
2018,1,2,19,26,3,73
2018,1,2,20,22,1.1,72
2018,1,2,21,20,1.7,70
2018,1,2,22,22,1.5,80
2018,1,2,23,22,1.2,84
2018,1,3,0,18,0.8,76
2018,1,3,1,20,1.1,72
2018,1,3,2,23,0.4,74
2018,1,3,3,26,0.4,80
2018,1,3,4,25,1.1,72
2018,1,3,5,25,1.5,79
2018,1,3,6,29,1.3,76
2018,1,3,7,28,2.3,68
2018,1,3,8,26,1.5,54
2018,1,3,9,30,1.1,73
2018,1,3,10,48,0.9,120
2018,1,3,11,60,1.9,112
2018,1,3,12,59,1.6,105
2018,1,3,13,60,1.3,110
2018,1,3,14,58,2.1,111
2018,1,3,15,56,2.4,120
2018,1,3,16,56,2.5,107
2018,1,3,17,58,3.1,120
2018,1,3,18,70,2.3,138
2018,1,3,19,75,2.7,126
2018,1,3,20,47,2,65
2018,1,3,21,27,1.6,66
2018,1,3,22,26,1,62
2018,1,3,23,21,1,63
2018,1,4,0,18,1.2,60
2018,1,4,1,17,0.4,56
2018,1,4,2,15,1.2,60
2018,1,4,3,16,1.1,69
2018,1,4,4,24,1.3,77
2018,1,4,5,29,1.1,57
2018,1,4,6,26,0.9,57
2018,1,4,7,31,0.5,72
2018,1,4,8,37,1.2,104
2018,1,4,9,45,2.9,139
2018,1,4,10,39,3.3,76
2018,1,4,11,21,4.7,76
2018,1,4,12,18,5.3,74
2018,1,4,13,19,6,97
2018,1,4,14,20,4.2,61
2018,1,4,15,20,3.1,50
2018,1,4,16,22,2.4,64
2018,1,4,17,26,2.4,64
2018,1,4,18,23,3.8,50
2018,1,4,19,16,3.2,33
2018,1,4,20,10,4,42
2018,1,4,21,13,2.7,46
2018,1,4,22,19,2.2,41
2018,1,4,23,22,1.9,49
2018,1,5,0,31,1.8,80
2018,1,5,1,34,1.8,78
2018,1,5,2,30,2.8,69
2018,1,5,3,22,2.2,57
2018,1,5,4,20,2.4,61
2018,1,5,5,25,2.4,73
2018,1,5,6,29,2.9,59
2018,1,5,7,28,3,50
2018,1,5,8,22,3,43
2018,1,5,9,17,3,43
2018,1,5,10,23,3.4,58
2018,1,5,11,25,5.6,44
2018,1,5,12,17,6.9,52
2018,1,5,13,15,6.7,42
2018,1,5,14,15,6.7,38
2018,1,5,15,16,7.7,44
2018,1,5,16,17,7.3,39
2018,1,5,17,17,6.1,38
2018,1,5,18,16,5.9,43
2018,1,5,19,13,6,45
2018,1,5,20,12,4.3,43
2018,1,5,21,13,3.9,43
2018,1,5,22,13,4,39
2018,1,5,23,13,4.8,40
2018,1,6,0,12,4,43
2018,1,6,1,12,4.3,42
2018,1,6,2,11,3.5,35
2018,1,6,3,11,3.3,38
2018,1,6,4,13,2.7,42
2018,1,6,5,13,3.1,33
2018,1,6,6,15,3.6,36
2018,1,6,7,14,2.5,35
2018,1,6,8,11,2.2,42
2018,1,6,9,13,2.8,35
2018,1,6,10,9,4.5,33
2018,1,6,11,5,4.2,31
2018,1,6,12,9,3.9,34
2018,1,6,13,12,4.1,28
2018,1,6,14,11,3.3,31
2018,1,6,15,10,4,36
2018,1,6,16,10,3.8,38
2018,1,6,17,10,3,30
2018,1,6,18,9,2.9,30
2018,1,6,19,9,2.4,29
2018,1,6,20,8,6,23
2018,1,6,21,6,4.7,17
2018,1,6,22,4,4.2,19
2018,1,6,23,2,3,23
2018,1,7,0,4,2.5,20
2018,1,7,1,5,1.9,20
2018,1,7,2,4,2.1,27
2018,1,7,3,9,2.6,28
2018,1,7,4,9,3.1,30
2018,1,7,5,7,4,24
2018,1,7,6,10,6.4,22
2018,1,7,7,6,5.3,20
2018,1,7,8,6,5.3,18
2018,1,7,9,4,5,14
2018,1,7,10,2,4.7,15
2018,1,7,11,4,4.2,20
2018,1,7,12,6,4.8,20
2018,1,7,13,4,3.4,27
2018,1,7,14,2,5,19
2018,1,7,15,4,5.5,23
2018,1,7,16,4,4.2,28
2018,1,7,17,4,4.5,31
2018,1,7,18,5,3,27
2018,1,7,19,7,1.5,22
2018,1,7,20,7,0.6,27
2018,1,7,21,10,0.5,36
2018,1,7,22,12,0.6,31
2018,1,7,23,13,0.4,39
2018,1,8,0,20,0.4,45
2018,1,8,1,22,0.9,47
2018,1,8,2,21,1,43
2018,1,8,3,21,0.9,47
2018,1,8,4,23,2.8,46
2018,1,8,5,27,2.4,52
2018,1,8,6,27,1.6,63
2018,1,8,7,27,1.1,61
2018,1,8,8,30,1,79
2018,1,8,9,36,1.9,76
2018,1,8,10,35,3.3,71
2018,1,8,11,29,4.8,58
2018,1,8,12,22,4,43
2018,1,8,13,9,4,30
2018,1,8,14,4,2.8,19
2018,1,8,16,6,1.9,33
2018,1,8,17,6,2,17
2018,1,8,18,7,2.4,22
2018,1,8,19,8,1.9,17
2018,1,8,20,7,1.3,10
2018,1,8,21,5,1.6,11
2018,1,8,22,6,2.2,26
2018,1,8,23,8,5.2,25
2018,1,9,0,9,7.5,15
2018,1,9,1,7,3.9,22
2018,1,9,2,6,4.4,17
2018,1,9,3,7,7.8,12
2018,1,9,4,7,6,18
2018,1,9,5,8,7,22
2018,1,9,6,15,5.7,25
2018,1,9,7,13,6.6,21
2018,1,9,8,9,5.7,24
